OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	Cheek_mean	taxonomy
93	3.83903724829	0.428227845307	0.75635858636	1.0	3.4799	3.78194	2.8976	4.77251904762	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillales_u; 6__Bacillales_u_u; 7__Bacillales_u_u_u
315	3.83049535604	0.429431561391	0.75635858636	1.0	0.855025	0.0	0.0	1.44793333333	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Nocardiaceae; 6__Rhodococcus; 7__Rhodococcus sp. Leaf233
177	3.7965796897	0.434235185112	0.75635858636	1.0	1.909775	4.03308	4.7445	2.1524	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Curvibacter; 7__Curvibacter_u
234	3.7902453881	0.435136631174	0.75635858636	1.0	1.440975	3.1713	0.0	1.41769047619	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Brucellaceae; 6__Ochrobactrum; 7__Ochrobactrum rhizosphaerae
110	3.77782015719	0.436908807987	0.75635858636	1.0	2.6337125	3.05156	0.0	4.20266666667	0.0	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Fusobacteriaceae; 6__Fusobacterium; 7__Fusobacterium_u
96	3.77578431373	0.437199669627	0.75635858636	1.0	3.79655	5.81374	4.7445	4.59092857143	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia mucilaginosa
155	3.76466795616	0.43879032347	0.75635858636	1.0	1.8096	0.0	0.0	2.08822380952	0.0	1__Bacteria; 2__Spirochaetes; 3__Spirochaetia; 4__Spirochaetales; 5__Spirochaetaceae; 6__Treponema; 7__Treponema_u
383	3.76353629171	0.43895248756	0.75635858636	1.0	0.855025	0.58276	3.7973	1.01811428571	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Legionellales; 5__Legionellaceae; 6__Legionella; 7__Legionella pneumophila
161	3.75615758062	0.440010888643	0.75635858636	1.0	2.6286	3.30564	7.0926	3.08405238095	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Comamonadaceae_u; 7__Comamonadaceae_u_u
355	3.70960161487	0.446730963699	0.760831219141	1.0	0.522175	0.76294	2.8976	1.31944285714	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas stutzeri
174	3.69267026337	0.449192890345	0.760831219141	1.0	2.5649875	1.81994	0.0	1.27777619048	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinomycetales; 5__Actinomycetaceae; 6__Actinomyces; 7__Actinomyces graevenitzii
235	3.67344904706	0.451999378682	0.760831219141	1.0	0.6448375	2.00934	0.0	1.89498095238	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiaceae; 6__Lautropia; 7__Lautropia mirabilis
109	3.63301152219	0.457943833685	0.760831219141	1.0	3.52715	4.4929	0.0	3.20184285714	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Micrococcaceae_u; 7__Micrococcaceae_u_u
197	3.62600321027	0.458979604286	0.760831219141	1.0	2.190575	3.42584	2.8976	1.42977142857	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium ravenspurgense
171	3.61931081957	0.459970204728	0.760831219141	1.0	1.224475	0.0	2.8976	1.21542857143	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus epidermidis
119	3.59638669735	0.463374650221	0.761672081301	1.0	3.958475	4.97474	0.0	4.53385238095	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacteriaceae_u; 7__Corynebacteriaceae_u_u
299	3.56959493249	0.467375480043	0.763476715846	1.0	0.7421125	2.31016	0.0	1.5257	0.0	1__Bacteria; 2__Bacteroidetes; 3__Cytophagia; 4__Cytophagales; 5__Cytophagales_u; 6__Cytophagales_u_u; 7__Cytophagales_u_u_u
325	3.4821437659	0.480598613369	0.767719773391	1.0	1.7774125	1.17902	0.0	0.463457142857	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Pseudoclavibacter; 7__Pseudoclavibacter bifida
