OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
1004	1.99214524852	0.36932708282	0.982275082276	1.0	6.06518095238	5.3577	7.405	1__Prophage; 2__Firmicutes prophage; 3__Clostridia prophage; 4__Clostridiales prophage; 5__Peptostreptococcaceae prophage; 6__Clostridioides prophage; 7__Clostridioides difficile
107	1.97752114509	0.372037518897	0.982275082276	1.0	3.82176190476	4.11976	5.52032	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Dermabacteraceae; 6__Brachybacterium; 7__Brachybacterium_u
334	1.96091084409	0.375140212819	0.982275082276	1.0	0.66239047619	1.60121	0.80272	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Kocuria; 7__Kocuria rhizophila
83	1.94926322121	0.377331332825	0.982275082276	1.0	5.04501904762	5.60582	7.58886	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidales_u; 6__Bacteroidales_u_u; 7__Bacteroidales_u_u_u
266	1.93565441651	0.379907602079	0.982275082276	1.0	1.0063047619	1.20132	2.24666	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacterium; 7__Propionibacterium namnetense
178	1.91999599145	0.382893653399	0.982275082276	1.0	2.99272380952	3.32904	4.41812	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Leucobacter; 7__Leucobacter sp. CBX152
100	1.91023655914	0.38476663183	0.982275082276	1.0	5.4662047619	6.18813	4.62466	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriales_n; 6__Lawsonella; 7__Lawsonella clevelandensis
231	1.9094073499	0.384926190928	0.982275082276	1.0	1.84526666667	2.42868	0.80272	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonadaceae_u; 7__Pseudomonadaceae_u_u
181	1.87762803235	0.391091388483	0.982275082276	1.0	0.775566666667	0.75916	2.18702	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Sutterellaceae; 6__Sutterella; 7__Sutterella_u
89	1.87683397683	0.391246693447	0.982275082276	1.0	6.95991904762	6.66151	5.95278	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Mycobacteriaceae; 6__Mycobacterium; 7__Mycobacterium_u
