OTU	Test-Statistic	P	FDR_P	Bonferroni_P	M_mean	F_mean	taxonomy
290	3.72979890311	0.0534498284456	0.691489119538	1.0	2.02695333333	0.601395238095	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Lachnospiraceae; 6__Lachnospiraceae_n; 7__[Eubacterium] rectale
11	3.6756126021	0.0552139601152	0.691489119538	1.0	0.708173333333	1.95506666667	1__Eukaryota; 2__Ascomycota; 3__Saccharomycetes; 4__Saccharomycetales; 5__Metschnikowiaceae; 6__Clavispora; 7__Clavispora lusitaniae
151	3.57142857143	0.0587817213554	0.702708759839	1.0	2.21734	4.00408095238	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Tamlana; 7__Tamlana sp. s12
279	3.36442048518	0.0666190189978	0.703308714641	1.0	1.563	0.324538095238	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillaceae; 6__Gracilibacillus; 7__Gracilibacillus boraciitolerans
285	3.34742468416	0.0673102430477	0.703308714641	1.0	0.343266666667	1.50736190476	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhodospirillales; 5__Rhodospirillaceae; 6__Magnetospirillum; 7__Magnetospirillum magnetotacticum
114	3.23198619301	0.0722130567529	0.703308714641	1.0	3.64548	1.82651904762	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Ruminococcaceae; 6__Faecalibacterium; 7__Faecalibacterium prausnitzii
322	3.19622641509	0.0738083903419	0.703308714641	1.0	1.43122666667	0.334404761905	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Megasphaera; 7__Megasphaera micronuciformis
133	3.17083692839	0.0749640232272	0.703308714641	1.0	3.66959333333	1.94075238095	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriaceae; 6__Corynebacterium; 7__Corynebacterium matruchotii
362	3.13685614269	0.0765412140519	0.703308714641	1.0	0.777146666667	1.95967142857	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Fusobacteriaceae; 6__Fusobacterium; 7__Fusobacterium nucleatum
101	2.89081919016	0.0890856179609	0.703308714641	1.0	4.29763333333	2.47758095238	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Ruminococcaceae; 6__Ruminococcaceae_u; 7__Ruminococcaceae_u_u
