OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Elder_mean	Adult_mean	Young_mean	taxonomy
633	3.24947173798	0.196963692553	0.775332719227	1.0	1.1482	0.0	0.0	1__Prophage; 2__Proteobacteria prophage; 3__Gammaproteobacteria prophage; 4__Pasteurellales prophage; 5__Pasteurellaceae prophage; 6__Haemophilus prophage; 7__Haemophilus prophage_u
312	3.17997663859	0.203927993743	0.775332719227	1.0	2.3711125	0.85936	2.51525	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Caulobacterales; 5__Caulobacteraceae; 6__Caulobacteraceae_u; 7__Caulobacteraceae_u_u
269	3.16802008462	0.20515078322	0.775332719227	1.0	1.54234166667	2.39288	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. S1E40
309	3.09936746339	0.21231511175	0.775332719227	1.0	0.5717625	1.52572	1.772225	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Helicobacteraceae; 6__Helicobacter; 7__Helicobacter pylori
412	3.09025398701	0.213284783721	0.775332719227	1.0	1.314775	0.46003	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinomycetales; 5__Actinomycetaceae; 6__Actinomyces; 7__Actinomyces_u
531	3.088219757	0.213501829236	0.775332719227	1.0	0.338545833333	1.03378	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Corynebacteriales; 5__Corynebacteriales_u; 6__Corynebacteriales_u_u; 7__Corynebacteriales_u_u_u
83	3.07695951766	0.214707260261	0.775332719227	1.0	1.31835833333	2.32924	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Xanthomonadales; 5__Xanthomonadaceae; 6__Stenotrophomonas; 7__Stenotrophomonas maltophilia
89	3.07613961115	0.214795298245	0.775332719227	1.0	2.229775	3.77064	1.23165	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Rhizobiaceae; 6__Rhizobiaceae_u; 7__Rhizobiaceae_u_u
375	3.07495926127	0.214922102462	0.775332719227	1.0	0.356041666667	1.7306	0.9933	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiaceae; 6__Burkholderia; 7__Burkholderia_u
491	3.06530738587	0.215961809902	0.775332719227	1.0	1.15940416667	0.30811	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas sp. SRS2
47	3.05277007798	0.217319851855	0.775332719227	1.0	5.45332916667	6.4772	2.30255	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Micrococcus; 7__Micrococcus luteus
537	2.99036850921	0.224207289699	0.775332719227	1.0	0.8578625	0.0	1.105025	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Streptomycetales; 5__Streptomycetaceae; 6__Streptomyces; 7__Streptomyces sp. AcH 505
427	2.96454494696	0.227120975105	0.775332719227	1.0	1.00444583333	0.0	1.202175	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus infantis
476	2.9490508096	0.2288873301	0.775332719227	1.0	1.1013375	0.0	0.9933	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium embrapense
0	2.9440225751	0.229463503666	0.775332719227	1.0	2.55141666667	3.90665	0.964825	1__Eukaryota; 2__Ascomycota; 3__Saccharomycetes; 4__Saccharomycetales; 5__Dipodascaceae; 6__Yarrowia; 7__Yarrowia lipolytica
344	2.91172213418	0.23319947703	0.775332719227	1.0	0.465691666667	1.06823	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Delftia; 7__Delftia lacustris
