OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
161	14.9600492477	0.00185110985732	0.0278002479056	0.581248495197	5.68661	1.50186428571	1.61641	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. PAMC 25886
44	14.8860354037	0.00191667538995	0.0278002479056	0.601836072444	7.6858	2.09210714286	9.44799	6.14325	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Haemophilus; 7__Haemophilus_u
157	14.8517881021	0.00194778806982	0.0278002479056	0.611605453922	1.61804	5.96732142857	4.24574	4.07755	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Mesorhizobium; 7__Mesorhizobium sp. UASWS1009
162	14.7136557664	0.00207844413834	0.0279870557132	0.652631459438	0.67489	4.38676428571	1.6538	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Comamonadaceae_u; 7__Comamonadaceae_u_u
89	14.6187330589	0.00217323146236	0.0279870557132	0.68239467918	6.02807	1.86886428571	0.97028	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Rhizobiaceae; 6__Rhizobiaceae_u; 7__Rhizobiaceae_u_u
208	14.4961815637	0.00230197280655	0.0279870557132	0.722819461256	4.31838	0.843107142857	1.74422	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Phyllobacterium; 7__Phyllobacterium sp. UNC302MFCol5.2
29	14.4819548872	0.00231739951765	0.0279870557132	0.727663448543	12.83603	9.75094285714	8.44518	6.390525	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacterium; 7__Propionibacterium_u
308	14.1805754789	0.0026693833467	0.0310439396616	0.838186370864	2.89087	0.266628571429	0.82652	0.0	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Phyllobacterium; 7__Phyllobacterium_u
400	13.622344106	0.00346699185239	0.0388798372018	1.0	0.0	2.43220714286	0.38776	0.0	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium sp. C3
123	13.5047211238	0.00366303785589	0.0396618581637	1.0	0.63317	1.96257142857	5.16987	0.0	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Campylobacteraceae; 6__Campylobacter; 7__Campylobacter_u
