OTU	Test-Statistic	P	FDR_P	Bonferroni_P	M_mean	F_mean	taxonomy
133	2.62683112887	0.105071228158	0.605496937573	1.0	1.87828571429	0.375529166667	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Neisseriales; 5__Neisseriaceae; 6__Neisseria; 7__Neisseria gonorrhoeae
192	2.54849217205	0.110399571217	0.605496937573	1.0	2.70582142857	1.295275	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Leptotrichiaceae; 6__Leptotrichia; 7__Leptotrichia_u
498	2.52942688255	0.111740794951	0.605496937573	1.0	0.0	0.734766666667	1__Bacteria; 2__Firmicutes; 3__Tissierellia; 4__Tissierellales; 5__Peptoniphilaceae; 6__Parvimonas; 7__Parvimonas micra
114	2.50754705689	0.113302167292	0.605496937573	1.0	2.93342857143	4.62289583333	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus epidermidis
291	2.50626529407	0.113394377915	0.605496937573	1.0	2.12827857143	0.674945833333	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Campylobacteraceae; 6__Campylobacter; 7__Campylobacter concisus
281	2.47458399597	0.115700051766	0.605496937573	1.0	1.37457857143	0.490066666667	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillales_n; 6__Gemella; 7__Gemella_u
304	2.47458399597	0.115700051766	0.605496937573	1.0	1.41139285714	0.441670833333	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Klebsiella; 7__Klebsiella pneumoniae
370	2.47458399597	0.115700051766	0.605496937573	1.0	1.37734285714	0.404925	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiaceae; 6__Ralstonia; 7__Ralstonia_u
375	2.40081655286	0.121271934896	0.614263153121	1.0	1.35727857143	0.450929166667	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiaceae; 6__Burkholderia; 7__Burkholderia_u
298	2.39951714952	0.121372707791	0.614263153121	1.0	2.18794285714	1.03160833333	1__Bacteria; 2__Fusobacteria; 3__Fusobacteriia; 4__Fusobacteriales; 5__Leptotrichiaceae; 6__Streptobacillus; 7__Streptobacillus moniliformis
28	2.33564934236	0.126442255232	0.614263153121	1.0	10.3510428571	9.33820833333	1__Bacteria; 2__Proteobacteria; 3__Proteobacteria_u; 4__Proteobacteria_u_u; 5__Proteobacteria_u_u_u; 6__Proteobacteria_u_u_u_u; 7__Proteobacteria_u_u_u_u_u
