Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__TG5;TG5_u	0	0	11	0	0	40	0	0	3	28	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	106	150	2	2274	1	56	0	0	0	0	4	14	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava	2	0	17	29	6	43	16	0	15	68	0	0	27	719	191	59	53	43	0	0	1	8	569	3	0	0	0	2	0	0	6	1	15	0	296	2	233	47	126	0	9
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella intermedia	0	0	28	2	2	93	20	0	47	0	0	3	0	0	0	46	11	0	0	0	3	0	0	0	0	957	33	0	1339	0	0	0	0	0	0	0	48	0	4	1	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas endodontalis	0	0	13	0	8	104	0	0	17	42	0	4	0	1	0	0	52	10	0	0	0	0	0	6	1	479	1236	1	29	0	156	0	0	20	0	17	93	0	0	59	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;Lautropia_u	8	1	8	5	37	291	0	0	27	49	0	0	13	0	0	0	0	6	0	0	0	0	0	6	46	1	0	870	0	0	1	0	0	27	0	0	715	14	50	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum orale	0	0	19	20	169	15	23	409	17	216	275	19	51	26	2	4	20	15	15	0	1	46	0	11	10	405	8	1	14	8	6	0	0	109	25	23	22	54	155	6	90
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter;Paludibacter_u	0	0	0	0	43	436	0	1	5	1	1	0	4	0	0	0	0	7	4	0	0	0	0	0	0	924	39	0	177	0	227	0	0	15	265	52	42	0	0	1	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__[Weeksellaceae]_u;s__[Weeksellaceae]_u_u	69	1	0	17	6	232	15	7	23	15	124	43	0	17	45	13	37	502	0	0	9	0	7	0	20	0	0	0	0	0	0	0	295	132	254	1	196	25	41	6	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;Haemophilus_u	999	223	10	13	5	11	0	0	53	9	9	13	0	10	2	76	209	0	0	0	89	5	0	0	1	0	0	0	0	0	0	0	62	26	0	1	119	1	10	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_u;g__Clostridiales_u_u;s__Clostridiales_u_u_u	3	0	42	24	265	67	10	188	28	61	4	10	29	10	9	3	62	159	33	12	0	23	0	38	25	40	97	0	308	3	12	48	2	1	138	1	99	0	74	137	4
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;Veillonella_u	79	139	61	91	58	3	22	2	121	7	285	22	22	4	5	12	476	0	0	14	20	0	1	10	3	73	18	13	48	18	2	124	1	27	5	5	22	63	92	1	57
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor;Filifactor_u	0	6	164	1	32	64	4	0	7	3	0	0	0	2	0	0	0	3	0	2	0	0	0	0	1	46	518	3	989	0	74	0	6	1	0	5	29	0	1	14	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidetes_u;o__Bacteroidetes_u_u;f__Bacteroidetes_u_u_u;g__Bacteroidetes_u_u_u_u;s__Bacteroidetes_u_u_u_u_u	0	1	270	0	7	8	0	1	4	6	2	1	0	0	0	0	0	1	3	1	0	1	0	1	1	78	364	2	535	1	742	0	0	5	23	1	19	0	1	6	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea	0	0	8	10	132	0	0	1	2	447	0	0	18	3	0	0	8	1	0	0	0	0	0	0	0	1270	4	0	28	13	19	0	0	3	0	49	3	6	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_u;s__Lachnospiraceae_u_u	2	8	9	0	73	41	24	342	8	365	0	13	23	5	6	27	51	350	0	0	0	0	0	27	7	150	2	0	0	1	9	0	1	0	288	1	59	1	1	13	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia aeria	4	4	3	22	12	357	6	3	17	18	10	11	14	4	19	0	333	0	0	0	0	0	0	14	17	0	0	767	0	2	6	60	1	5	0	56	47	1	126	0	1
k__Bacteria;p__Bacteria_u;c__Bacteria_u_u;o__Bacteria_u_u_u;f__Bacteria_u_u_u_u;g__Bacteria_u_u_u_u_u;s__Bacteria_u_u_u_u_u_u	1	2	22	7	45	59	5	23	26	27	141	11	5	3	5	1	26	17	121	5	0	67	0	3	13	126	176	1	291	1	18	134	3	82	191	14	74	50	48	9	89
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;Megasphaera_u	0	1	1	11	19	1	9	5	0	1	268	1	16	6	0	2	40	0	42	3	0	21	0	11	1	0	15	0	170	0	1	991	0	12	0	7	7	41	5	3	480
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella;Catonella_u	4	4	10	1	33	30	2	0	2	7	0	0	2	3	0	12	19	0	375	5	2	581	0	11	0	0	59	1	67	1	80	0	0	20	199	9	42	0	6	136	0
k__Bacteria;p__TM7;c__TM7-3;o__TM7-3_u;f__TM7-3_u_u;g__TM7-3_u_u_u;s__TM7-3_u_u_u_u	0	0	78	52	394	13	4	9	7	33	13	4	60	1	1	0	61	1	8	1	0	0	0	0	0	180	47	0	290	5	149	0	0	19	0	39	51	0	11	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Schwartzia;Schwartzia_u	0	1	15	19	17	9	0	0	2	7	0	0	0	1	0	0	0	2	12	0	0	0	0	7	0	213	53	2	1194	3	9	2	0	47	0	11	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium acnes	3	5	33	10	31	351	31	21	10	28	3	4	310	16	67	4	287	5	0	1	2	0	1	276	201	0	2	3	0	0	4	0	0	0	1	10	0	0	1	0	4
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema socranskii	0	3	25	1	119	17	0	0	2	47	0	0	0	1	0	0	16	4	44	0	0	0	0	0	0	403	61	2	345	1	177	0	0	30	0	20	37	0	0	35	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;Atopobium_u	0	0	244	37	0	14	12	12	0	1	23	0	23	0	0	5	33	0	0	0	0	10	0	8	9	14	7	0	17	0	1	1066	0	0	4	1	0	17	28	13	23
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseriaceae_u;s__Neisseriaceae_u_u	0	0	4	5	7	13	0	1	21	15	0	0	22	11	0	0	5	0	0	617	0	2	0	9	1	0	0	2	1	0	1	0	0	0	12	35	516	3	1	33	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia;s__Shuttleworthia satelles	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	5	0	39	0	0	0	0	12	3	1	2	0	34	0	0	1281	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriales_u;g__Fusobacteriales_u_u;s__Fusobacteriales_u_u_u	0	1	2	2	2	26	0	2	0	15	27	1	0	2	0	16	17	2	195	5	0	57	0	10	0	49	62	0	271	0	23	2	1	12	195	5	144	0	3	78	1
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter ureolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	478	9	0	0	644	11	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__Gemella;Gemella_u	1	0	1	0	36	6	2	7	5	10	4	4	3	0	1	0	1	6	16	355	0	12	175	0	2	0	14	0	0	0	20	0	2	354	8	28	59	0	7	25	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia moorei	0	0	0	1	19	0	4	7	15	2	28	2	0	4	3	3	22	0	37	3	0	666	0	9	0	35	5	0	2	0	44	86	0	3	41	3	0	3	45	3	6
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Eikenella;Eikenella_u	0	1	0	0	14	0	0	0	4	21	0	0	15	0	0	0	0	14	0	0	0	85	141	23	0	10	0	0	6	5	92	0	0	3	254	6	250	8	3	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;Oribacterium_u	0	5	3	18	147	0	1	35	0	8	1	4	63	4	4	2	7	0	75	45	0	116	1	25	0	214	14	2	18	2	44	2	0	11	7	24	0	0	7	1	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus zeae	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	1	0	0	0	0	0	0	0	10
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella pallens	0	2	1	15	80	0	38	24	1	9	211	0	66	6	0	5	58	0	7	0	0	0	0	0	0	0	1	0	53	0	4	0	5	0	193	3	20	47	94	2	114
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria bacilliformis	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	218	70	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	315	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcaceae_u;s__Streptococcaceae_u_u	28	22	0	3	12	68	65	1	25	14	46	6	12	0	15	0	23	10	0	1	2	2	0	10	21	2	1	1	0	0	0	55	4	40	6	8	65	161	56	0	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus;s__Actinobacillus parahaemolyticus	0	316	0	4	33	142	18	0	0	18	0	0	10	0	0	15	0	0	0	0	0	0	17	0	0	0	0	0	0	0	64	0	0	0	10	0	0	0	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichiaceae_u;s__Leptotrichiaceae_u_u	1	0	2	0	8	0	15	87	2	10	233	0	5	1	0	3	6	2	0	0	1	0	0	1	2	10	2	0	175	0	1	0	1	2	13	0	46	3	8	41	7
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;Pseudomonas_u	0	0	0	0	0	1	1	1	2	7	0	0	7	3	0	0	3	0	0	43	0	0	503	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
