Group	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus parasanguinis	0	0	0	3	5	0	0	0	63	14	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	2	11	0	40896	339	1	17
Bacteria|Proteobacteria|Proteobacteria_u|Proteobacteria_u_u|Proteobacteria_u_u_u|Proteobacteria_u_u_u_u|Proteobacteria_u_u_u_u_u	3	17	34	64	606	555	50	19	167	36	1039	29815	202	84	8	35	57	80	370	168	100	90	1351	1172	10	62	2	6	86	47	12	6	88	49	47	37	41	128
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium_u	3	25	3	2	2907	7621	487	98	3704	42	530	5221	631	65	23	117	5	8	698	2444	15	195	5922	5	16	63	800	10	4	11	3	271	25	55	8	11	134	865
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum autotrophicum	0	0	3	1	1883	479	233	6	4414	17	1097	5004	577	155	0	0	0	0	675	377	0	19	751	0	0	0	0	0	0	0	0	0	0	182	19	11	33	3
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|Akkermansia_u	0	0	0	0	1	1	0	0	15073	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	25	0	0	0	0	0	0	1	2	0	0	0	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_u|Gammaproteobacteria_u_u|Gammaproteobacteria_u_u_u|Gammaproteobacteria_u_u_u_u	0	2	0	274	4224	512	82	22	1103	28	1475	2063	192	31	2	0	0	13	266	160	4	16	675	41	1	2	0	0	2	3	3	0	3	23	13	6	30	274
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_u	791	21	2	1596	234	71	22	1	312	51	50	11	3	4	70	0	1	0	0	9	1	2	17	3369	1	208	4	10	250	2014	187	13	160	773	268	108	19	23
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	9260	0	1	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria_u	0	15	0	16	3	8	2	0	4	0	2	12	2	4	0	0	0	0	3	0	0	0	0	6619	0	0	0	0	3	6	0	4	68	2122	6	9	1	2
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacteriaceae_u|Flavobacteriaceae_u_u	0	0	3	1	1	7	0	0	1	2	3	6	46	0	8088	0	0	1	1	6	0	0	6	0	2	1	6	3	0	0	0	0	1	5	1	1	2	0
