Group	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum sp. RV1423	0	0	0	0	8	1	49	0	1	4	5	46	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas_u	0	2	0	0	8	8	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	4	8	1	15	1	1	1	0	8
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|Treponema_u	0	4	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	13	0	0	10	0	0	11	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. DSM 28142	0	0	0	0	0	0	0	0	0	10	0	19	0	2	0	0	0	0	185	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter|Aggregatibacter aphrophilus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	3	0	0	0	0	0	0	98	0	1	2	0	5	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus|Peptostreptococcus stomatis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Betaproteobacteria_u|Betaproteobacteria_u_u|Betaproteobacteria_u_u_u|Betaproteobacteria_u_u_u_u	0	2	0	2	24	1	3	0	6	0	3	24	5	0	1	8	14	10	22	10	7	13	22	0	0	0	2	0	4	6	2	4	0	1	4	2	2	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. UASWS1009	0	5	4	1	1	0	0	1	0	0	1	0	1	0	1	30	19	3	9	15	14	12	8	10	9	6	0	2	14	2	1	2	8	4	6	1	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderiaceae_u|Burkholderiaceae_u_u	0	0	0	0	3	106	0	0	0	0	0	0	0	0	0	1	1	1	81	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. PAMC 25886	0	0	0	0	1	23	8	1	61	4	38	4	7	0	0	0	0	0	8	12	0	1	10	0	0	0	0	0	0	0	0	0	0	1	0	0	6	9
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonadaceae_u|Comamonadaceae_u_u	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	10	60	1	2	101	0	3	2	0	3	3	1	0	0	0	0	1	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Gardnerella|Gardnerella vaginalis	0	0	0	0	0	169	0	0	2	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter|Achromobacter_u	0	0	0	0	0	5	1	0	8	0	0	20	0	0	0	0	0	0	9	48	0	7	88	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella oris	0	1	5	1	0	0	0	0	7	0	0	0	0	0	19	0	5	0	0	0	5	0	0	76	49	0	0	0	17	0	3	0	0	0	0	0	1	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcaceae_u|Micrococcaceae_u_u	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	70	4	0	1	52	0	0	2	6	0	0	0	0	0	1	7	4	1	7	23
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella sp. ICM33	0	0	0	148	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0	1	7	0	0	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio cholerae	0	0	0	0	0	5	0	2	0	0	0	1	0	9	0	0	0	3	50	34	6	6	63	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Globicatella|Globicatella sanguinis	0	0	0	0	55	118	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium_u	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	6	55	49	3	3	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseriaceae_u|Neisseriaceae_u_u	0	0	0	9	4	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	11	0	0	27	37	0	1	1	0
Bacteria|Firmicutes|Bacilli|Bacilli_u|Bacilli_u_u|Bacilli_u_u_u|Bacilli_u_u_u_u	0	0	1	6	7	31	0	0	1	0	1	13	0	1	2	1	1	0	1	1	0	0	16	52	0	0	1	2	1	0	3	0	5	0	0	0	2	18
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|Treponema denticola	0	3	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	5	0	0	0	0	1	0	0
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera micronuciformis	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	55	0	0	0	0	0	1	14	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus saprophyticus	9	18	0	0	0	0	0	0	5	0	0	0	1	3	5	7	0	0	1	6	0	0	13	1	0	28	39	14	12	0	7	0	0	0	3	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_n|Gemella|Gemella haemolysans	0	2	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	141	0	3	0	0	0	0	3	0	1	0	2	7	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Atopobium|Atopobium_u	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	132	0	0	0	1	0	0	3	2	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_n|Aquabacterium|Aquabacterium_u	0	1	3	1	0	0	0	0	0	0	0	0	0	0	2	10	19	9	12	25	7	10	20	0	0	1	0	1	3	5	10	5	5	0	5	2	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|Alloprevotella tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	75	0	7	0	0	1	0	0	0	1	0	2	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum chlorophenolicum	0	0	0	0	0	0	136	0	2	0	0	0	5	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Empedobacter|Empedobacter falsenii	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	1	11	55	63	1	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter|Aggregatibacter_u	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	11	0	0	82	0	0	0	0	13	0	7	0	0	9	0	0	0	0
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Waddliaceae|Waddlia|Waddlia chondrophila	0	0	0	0	0	1	0	1	0	1	0	0	0	5	1	0	0	5	8	20	13	4	92	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium tuberculosis	0	0	1	0	0	1	1	0	0	5	3	0	0	5	0	0	0	5	34	21	5	4	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella pallens	0	0	0	5	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	122	2	0	0	0	0	0	0	3	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia|Leptotrichia_u	0	0	0	2	0	0	1	0	0	9	0	0	2	0	1	0	0	0	0	0	0	0	2	37	0	0	0	0	0	0	0	23	3	25	0	1	32	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer|Ensifer_u	0	0	0	0	0	0	0	0	0	0	1	12	4	119	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas luteoviolacea	0	0	0	0	0	3	3	1	0	1	1	0	0	3	0	0	0	8	40	30	13	6	21	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Phyllobacteriaceae_u|Phyllobacteriaceae_u_u	0	3	1	0	12	5	0	0	1	0	1	31	0	3	1	7	5	0	11	2	1	15	5	0	1	0	0	0	5	2	4	1	1	0	14	3	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella melaninogenica	0	0	0	22	0	2	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	21	3	2	1	0	4
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonadaceae_u|Pseudomonadaceae_u_u	0	0	0	0	4	29	13	0	10	0	14	4	2	0	0	0	0	0	10	3	0	0	29	0	0	0	0	0	0	0	0	0	0	2	0	0	11	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Alcaligenaceae_u|Alcaligenaceae_u_u	0	0	0	0	0	3	1	0	2	0	0	0	0	1	0	0	0	0	10	30	0	3	65	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4
Bacteria|Bacteroidetes|Bacteroidetes_u|Bacteroidetes_u_u|Bacteroidetes_u_u_u|Bacteroidetes_u_u_u_u|Bacteroidetes_u_u_u_u_u	3	0	0	1	0	1	0	0	0	0	0	1	0	0	45	0	1	0	0	0	2	0	3	42	0	0	1	1	0	3	1	3	1	6	0	2	0	6
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia|Escherichia coli	0	1	0	0	0	6	2	1	60	6	1	0	0	9	0	0	0	5	10	3	4	2	4	0	0	2	0	0	0	0	2	0	0	0	0	7	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga sputigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10	10	16	0	85	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter|Aggregatibacter segnis	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	55	0	0	0	0	6	0	0	0	1	14	0	19	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Phyllobacterium|Phyllobacterium sp. UNC302MFCol5.2	0	0	0	0	4	26	1	1	1	0	7	1	1	4	0	0	0	0	16	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	46	0	0	3
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus pneumoniae	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	55	0	0	5	1
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter|Pedobacter panaciterrae	0	0	0	0	0	104	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_u|Prevotellaceae_u_u	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	15	21	0	0	0	0	1	0	0	28	26	0	0	3	0
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Chitinophagaceae_u|Chitinophagaceae_u_u	0	6	3	0	0	0	0	0	0	0	0	0	0	0	1	11	11	9	6	6	8	8	11	0	0	3	1	1	5	4	4	3	2	1	0	2	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella sp. C561	0	0	0	9	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	80	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Pelomonas|Pelomonas_u	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	6	7	11	9	1	11	9	1	1	0	0	0	13	3	1	1	2	0	0	6	1	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus_u	0	0	0	0	0	0	3	0	0	0	0	86	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella parvula	0	0	8	6	0	0	0	0	0	0	0	0	2	0	55	0	0	0	0	0	0	0	0	6	1	0	0	0	0	5	0	3	5	0	8	1	0	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium_u	0	0	0	0	5	0	0	0	8	0	11	23	0	3	0	0	0	0	3	0	0	1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus rhinitidis	0	0	0	0	0	23	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella sp. oral taxon 158	0	0	0	0	0	0	0	1	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	4	31	0	0	4	0	1	4	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacterium|Sphingobacterium spiritivorum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	46	33	6	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. KG01	0	0	0	0	1	0	62	0	4	0	11	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas veronii	0	0	0	0	3	0	41	0	0	0	0	25	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium periodonticum	0	0	0	4	0	0	1	0	0	4	0	0	0	0	0	0	18	0	0	0	0	0	0	29	0	0	0	0	0	0	2	6	6	0	0	0	11	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter baumannii	0	0	0	1	13	53	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas endodontalis	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	58	6	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella nigrescens	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	0	0	0	8	36	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas paucimobilis	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	3	12	4	4	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella tobetsuensis	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	2	0	0	21	0	4
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia|Leptotrichia wadei	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	43	0	0	5	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. CF161	0	0	0	0	2	0	4	0	5	0	0	2	0	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. CBZ-4	0	0	0	0	1	5	5	1	1	5	7	1	6	3	0	0	0	0	0	8	0	1	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Moraxellaceae_u|Moraxellaceae_u_u	0	0	0	0	1	46	0	0	0	0	0	1	2	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus pasteuri	0	0	0	0	6	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	5	26	0	0	0	6	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. PAMC 26793	0	0	0	0	0	2	0	1	0	0	4	4	22	1	0	0	0	0	0	8	0	1	5	0	0	0	0	0	0	0	0	0	0	1	1	1	0	10
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus mutans	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	3	22	3	2	1	0	0	0	24	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Ochrobactrum|Ochrobactrum anthropi	0	0	0	0	0	40	0	6	2	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium sp. BTAi1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	8	0	0	2	6	5	0	0	0	0	0	0	1	4	2	4	1	1	11	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. S1E40	0	0	0	0	0	6	1	13	0	1	12	12	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_u	0	33	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_u|Lachnospiraceae_u_u	0	0	0	0	0	0	1	0	19	3	5	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	1	1	0	1	1	12	1	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides fragilis	0	0	1	0	2	5	0	0	1	2	0	1	1	4	0	0	0	9	2	8	10	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	1	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium|Microbacterium laevaniformans	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	3	10	20	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium acnes	0	0	0	0	40	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	7
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Finegoldia|Finegoldia magna	0	14	0	0	18	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. Root9	0	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_n|Gemella|Gemella_u	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	20	1	0	0	10	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Parvimonas|Parvimonas_u	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	3	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces turgidiscabies	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	0	0	6	10	14	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Hydrotalea|Hydrotalea flava	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	4	5	3	4	5	1	1	7	0	1	2	1	0	1	1	1	1	2	1	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_n|Aquabacterium|Aquabacterium parvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	5	5	5	5	5	6	0	0	0	0	1	0	0	1	0	1	0	0	3	0	0
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella dispar	0	3	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	12	0	0	3	0	3	3	0	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas gingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter concisus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	10	6	17	1	2
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria meningitidis	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	39	0	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium sp. 1100029.7	0	0	0	0	0	3	2	0	0	4	0	0	0	4	0	0	1	3	6	13	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Sediminibacterium|Sediminibacterium_u	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8	3	3	3	3	1	0	3	1	1	0	1	0	2	3	1	1	0	0	1	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus|Streptobacillus moniliformis	1	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	3	3	5	4	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecium	0	0	0	0	0	0	9	0	0	0	0	0	0	3	22	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter showae	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	8	7	5	0	2	1	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Klebsiella|Klebsiella pneumoniae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas sp. KLE 1280	0	0	0	0	0	21	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	1	0	2
