Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium_u	21	24	67	5	8	0	6	0	30	1	42	5	9	149	46	3	5	3	16	73	6	17	39	6	10	12	0	19	16	1	74	12	1	1	0	6
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermabacteraceae|Brachybacterium|Brachybacterium_u	10	16	27	1	7	3	1	0	301	1	3	0	4	15	182	1	5	2	2	0	0	16	28	9	4	2	0	1	3	0	31	3	2	0	0	9
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_u|Burkholderiales_u_u|Burkholderiales_u_u_u	35	28	16	22	0	10	7	0	49	0	20	1	2	2	20	92	3	5	38	19	0	9	11	6	2	5	1	0	24	1	9	23	8	199	0	8
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcaceae_u|Micrococcaceae_u_u	15	0	1	461	0	0	0	0	16	4	12	0	2	3	3	0	0	0	2	4	1	0	8	31	1	2	1	1	0	4	60	4	18	4	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium_u	3	1	0	147	0	0	0	0	13	5	17	0	0	0	2	2	42	0	8	149	55	0	0	121	6	2	5	0	1	0	4	30	0	22	15	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Enterobacter|Enterobacter hormaechei	61	44	66	3	7	0	20	0	20	0	7	0	1	3	22	49	6	3	135	16	13	0	8	66	5	8	7	26	4	9	2	3	1	0	0	9
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_u|Lachnospiraceae_u_u	26	16	3	125	0	0	0	0	55	13	13	1	0	9	7	1	2	1	4	14	9	0	10	45	1	2	0	1	4	0	11	1	2	135	0	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia_u	10	1	0	288	1	0	1	0	0	0	20	0	0	2	31	1	1	3	3	10	7	6	11	40	0	10	0	1	8	1	45	0	1	16	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|Faecalibacterium prausnitzii	8	8	0	60	0	0	0	0	10	2	0	0	0	3	3	2	0	3	0	0	0	9	0	6	1	2	1	0	5	0	7	1	3	376	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides sp. YL27	265	197	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	21	3	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia|Akkermansia_u	28	26	0	1	0	1	0	0	400	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	19	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum|Faecalibaculum rodentium	128	283	0	6	0	0	0	0	14	0	1	0	0	3	1	0	0	0	0	0	0	0	17	5	1	5	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia|Leptotrichia_u	7	3	1	145	1	0	1	0	2	30	9	0	0	0	0	6	1	0	3	15	1	3	7	62	0	2	0	0	6	1	11	61	25	34	6	12
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacteriaceae_u|Corynebacteriaceae_u_u	38	22	9	9	0	3	8	0	130	5	11	0	6	57	24	21	6	0	15	9	0	0	15	2	11	10	1	0	5	0	25	4	0	2	0	4
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter_u	9	1	1	0	2	1	0	12	25	0	0	0	0	1	0	0	0	0	0	9	0	330	0	4	8	7	0	0	1	0	5	10	4	0	0	15
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacteriaceae_u|Flavobacteriaceae_u_u	20	24	3	91	1	2	3	0	26	1	14	0	0	15	22	12	1	1	8	15	6	0	12	37	1	3	1	0	12	1	20	53	7	6	0	6
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_u	193	74	0	9	1	0	0	0	7	0	0	0	0	0	0	0	0	1	1	0	0	0	8	1	0	0	0	0	0	0	0	1	0	131	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium durum	0	3	0	63	3	1	3	0	22	0	2	0	2	2	4	138	5	1	1	2	2	5	12	12	1	1	4	9	105	0	4	1	1	1	5	2
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroidaceae_u|Bacteroidaceae_u_u	144	91	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	6	0	1	0	0	0	0	0	0	0	1	163	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichiaceae_u|Leptotrichiaceae_u_u	12	6	2	153	0	1	2	0	1	19	3	0	0	0	1	0	4	0	5	15	2	0	19	42	2	1	1	0	0	0	2	42	13	23	4	26
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter baumannii	15	15	0	11	0	3	7	0	9	0	15	5	14	21	171	15	4	0	11	1	4	0	20	10	2	2	0	0	2	1	2	7	0	8	0	14
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonellaceae_u|Veillonellaceae_u_u	30	101	1	145	0	0	3	0	0	0	0	0	0	0	4	1	0	0	1	0	1	0	3	34	0	1	2	0	5	15	18	1	4	7	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Turicella|Turicella otitidis	23	8	21	0	4	2	4	0	7	22	16	0	7	19	32	33	0	3	4	24	1	4	19	2	10	14	0	1	0	0	56	17	1	8	0	14
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacteriaceae_u|Fusobacteriaceae_u_u	0	1	0	155	0	0	0	0	0	2	2	0	0	0	0	1	34	0	2	87	9	0	0	46	0	0	0	0	3	0	7	13	0	0	9	1
