Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces sp. NRRL WC-3744	0	8	10	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|Rhodococcus|Rhodococcus sp. Leaf233	5	1	2	0	0	0	0	0	9	0	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	3	2	0	0	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Anaerococcus|Anaerococcus_u	2	2	0	3	0	0	3	0	1	0	4	0	0	0	0	0	0	0	1	5	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	6
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Alkanindiges|Alkanindiges illinoisensis	0	0	0	0	0	0	0	0	3	0	3	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	7
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera micronuciformis	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	5	0	0	0	1	9	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces massiliensis	0	1	0	3	0	1	0	0	0	0	0	0	0	0	7	0	4	0	0	4	0	1	0	4	0	1	0	0	0	0	2	1	1	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Pseudoclavibacter|Pseudoclavibacter bifida	0	0	0	0	0	0	0	0	7	5	11	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus plantarum	2	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	2	0	2	3	4	2	1	3	0	0	0	3	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium animalis	12	4	1	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Aquificae|Aquificae|Aquificales|Aquificaceae|Aquificaceae_u|Aquificaceae_u_u	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	8	0	7	1	0	0	0	0	0	1	0	0	0	1
Bacteria|Cyanobacteria|Cyanobacteria_n|Oscillatoriales|Oscillatoriales_u|Oscillatoriales_u_u|Oscillatoriales_u_u_u	0	0	0	0	0	7	10	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Kocuria|Kocuria rhizophila	1	0	2	0	0	1	0	0	14	3	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Aerococcus|Aerococcus_u	0	0	2	1	0	0	1	0	8	0	4	0	0	0	1	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	5	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria_u|Actinobacteria_u_u|Actinobacteria_u_u_u|Actinobacteria_u_u_u_u|Actinobacteria_u_u_u_u_u	0	1	0	4	2	0	1	0	4	0	0	1	1	2	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	1	0	0	0	4
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonadaceae_u|Halomonadaceae_u_u	0	1	0	1	0	0	0	0	6	0	2	0	0	0	8	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_n|Rubrivivax|Rubrivivax gelatinosus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	4	2	10	0	0	0	2	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus|Cupriavidus gilardii	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	8	2	0	0	0	2	0	5
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacteriaceae_u|Sphingobacteriaceae_u_u	0	0	0	1	1	0	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	2	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Curvibacter|Curvibacter lanceolatus	1	0	0	0	0	0	0	0	4	0	0	0	0	0	3	5	0	1	5	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas stutzeri	1	0	0	1	0	0	1	0	6	2	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	1	5	0	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Gordoniaceae|Gordonia|Gordonia_u	1	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	11	0	0	0	0	0	0	2	0	4	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas toyotomiensis	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	4	0	0	0	6
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium nucleatum	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	1	0	0	0	1	2	2	2	0	1	0	3	0	0	1	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Gardnerella|Gardnerella_u	5	2	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	3	1	0	0	1	0	0	2	0	0	2	0	1	0	0
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Planctomycetaceae_u|Planctomycetaceae_u_u	0	0	0	0	0	3	3	0	3	0	0	0	0	1	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter jejuni	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	4	1	1	0	2	0	1	0	0	0	4	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_u	0	0	1	1	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	2	0	1	0	5
Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio toranzoniae	1	1	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	3	0	0	1	0	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium humerusii	2	0	0	0	0	0	0	0	3	0	0	0	0	0	7	1	0	0	0	2	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Anaerococcus|Anaerococcus provenciensis	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	2	0	0	2	0	1	0	0	3	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella pneumophila	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	5	0	2	0	2	3	1	0	0	0	0	1	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinotignum|Actinotignum schaalii	0	2	0	0	0	1	0	0	0	2	1	1	0	3	6	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Gardnerella|Gardnerella vaginalis	1	1	0	0	0	1	1	0	1	0	4	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	2	2	0	0	0	7
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium leguminosarum	2	0	2	0	0	0	3	0	1	0	1	0	0	0	1	0	2	0	1	0	1	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Arthrobacter|Arthrobacter sp. Edens01	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	6	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriales_u|Coriobacteriales_u_u|Coriobacteriales_u_u_u	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Oxalobacteraceae_u|Oxalobacteraceae_u_u	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Pseudoglutamicibacter|Pseudoglutamicibacter albus	1	0	0	0	0	0	1	0	7	0	2	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillaceae_u|Bacillaceae_u_u	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	1	0	2	3	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium sp. VCM10	0	0	2	1	2	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas plecoglossicida	0	3	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas caviae	0	0	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermatophilaceae|Mobilicoccus|Mobilicoccus pelagius	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc|Leuconostoc_u	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacterales_u|Solirubrobacterales_u_u|Solirubrobacterales_u_u_u	0	2	2	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Streptococcaceae prophage|Streptococcus prophage|Streptococcus pneumoniae	244	386	114	10048	26	63	61	3	251	264	419	16	32	316	862	250	66	82	174	155	70	9	814	3310	75	198	28	57	118	37	1854	195	352	230	8	96
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Streptococcaceae prophage|Streptococcaceae prophage_u|Streptococcaceae prophage_u_u	56	61	30	2298	1	16	16	1	37	42	90	0	3	45	202	33	16	11	53	54	23	0	244	812	22	29	6	11	54	28	551	49	161	79	0	20
Prophage|Firmicutes prophage|Clostridia prophage|Clostridiales prophage|Peptostreptococcaceae prophage|Clostridioides prophage|Clostridioides difficile	149	162	17	238	1	4	5	0	97	4	5	1	1	23	45	3	21	4	3	144	79	0	55	52	7	2	6	0	27	2	35	9	10	1377	1	13
Prophage|Firmicutes prophage|Bacilli prophage|Bacillales prophage|Staphylococcaceae prophage|Staphylococcus prophage|Staphylococcus aureus	102	92	87	122	14	70	47	0	127	4	90	4	8	248	165	276	31	22	38	148	12	1	234	23	31	15	7	9	58	6	65	77	64	114	0	17
Prophage|Firmicutes prophage|Bacilli prophage|Bacilli prophage_u|Bacilli prophage_u_u|Bacilli prophage_u_u_u|Bacilli prophage_u_u_u_u	83	65	24	805	0	12	9	0	70	7	19	1	8	20	85	13	19	6	9	26	6	1	88	92	6	12	3	1	13	5	47	20	29	424	2	4
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Lactobacillales prophage_u|Lactobacillales prophage_u_u|Lactobacillales prophage_u_u_u	31	20	14	1021	7	5	4	0	19	19	18	1	0	15	20	14	27	4	4	19	8	0	62	148	19	15	3	2	17	16	203	35	162	56	1	5
Prophage|Firmicutes prophage|Bacilli prophage|Bacillales prophage|Bacillales prophage_u|Bacillales prophage_u_u|Bacillales prophage_u_u_u	39	77	46	123	8	58	29	0	36	4	39	3	4	172	213	106	15	16	24	52	4	0	86	52	10	6	2	4	28	5	296	38	10	119	0	13
Prophage|Firmicutes prophage|Firmicutes prophage_u|Firmicutes prophage_u_u|Firmicutes prophage_u_u_u|Firmicutes prophage_u_u_u_u|Firmicutes prophage_u_u_u_u_u	77	121	3	111	0	2	2	0	43	2	8	1	0	6	18	3	4	2	5	17	5	0	24	33	2	1	0	0	13	1	22	5	5	841	0	3
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Pseudomonadales prophage|Pseudomonadaceae prophage|Pseudomonas prophage|Pseudomonas syringae group genomosp. 3	75	56	23	72	0	13	23	0	26	61	51	15	4	52	215	57	29	18	30	78	72	4	89	27	4	75	4	3	17	1	36	31	2	49	0	40
Prophage|Firmicutes prophage|Bacilli prophage|Bacillales prophage|Bacillaceae prophage|Bacillus prophage|Bacillus thuringiensis	21	23	5	73	2	1	1	0	39	1	4	1	4	8	21	2	8	0	0	7	1	0	11	13	1	2	2	0	3	0	2	99	0	579	0	0
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Enterobacterales prophage|Enterobacteriaceae prophage|Enterobacteriaceae prophage_u|Enterobacteriaceae prophage_u_u	57	85	8	188	1	2	5	0	10	8	79	1	2	6	31	15	0	4	15	8	1	0	15	35	0	2	0	1	5	9	109	65	17	22	0	3
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Lactobacillaceae prophage|Pediococcus prophage|Pediococcus acidilactici	31	31	4	29	1	1	0	0	21	7	19	0	0	13	35	5	2	4	2	3	3	0	21	7	1	2	2	2	23	2	15	6	1	31	0	4
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Gammaproteobacteria prophage_u|Gammaproteobacteria prophage_u_u|Gammaproteobacteria prophage_u_u_u|Gammaproteobacteria prophage_u_u_u_u	20	41	0	100	1	1	2	0	7	3	8	0	1	8	5	2	1	15	3	2	0	0	0	24	0	1	0	0	0	0	14	3	1	1	0	2
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Streptococcaceae prophage|Lactococcus prophage|Lactococcus garvieae	28	33	1	26	0	2	0	0	23	0	1	0	1	1	7	1	0	3	0	2	2	0	58	2	0	2	0	1	2	0	1	2	0	46	0	0
Prophage|Proteobacteria prophage|Alphaproteobacteria prophage|Rhodospirillales prophage|Rhodospirillaceae prophage|Azospirillum prophage|Azospirillum lipoferum	10	13	3	6	0	1	3	0	14	0	1	0	0	8	9	1	2	0	0	7	2	0	13	9	1	0	0	0	0	0	3	0	0	93	0	1
Prophage|Firmicutes prophage|Bacilli prophage|Bacillales prophage|Paenibacillaceae prophage|Paenibacillus prophage|Paenibacillus larvae	1	3	0	13	0	1	0	0	2	0	2	0	0	1	0	0	1	0	1	0	0	0	1	3	1	2	1	0	0	0	1	0	2	84	0	0
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Enterobacterales prophage|Enterobacteriaceae prophage|Escherichia prophage|Escherichia coli	25	6	3	26	0	0	3	0	5	0	3	0	0	1	4	4	0	2	4	5	0	0	9	2	0	1	0	0	1	1	3	2	0	2	0	0
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Pasteurellales prophage|Pasteurellaceae prophage|Haemophilus prophage|[Haemophilus] parasuis	5	2	0	52	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	1	0	3	3	11	1	0	0	0	2	0	3	1	2	6	0	2
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Lactobacillaceae prophage|Lactobacillus prophage|Lactobacillus casei	7	16	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	33	1	1	0	12	0	1
Prophage|undetermined Prophage|undetermined Prophage|undetermined Prophage|undetermined Prophage|undetermined Prophage|undetermined Prophage	7	12	0	6	0	0	0	0	6	1	0	1	0	2	0	0	0	0	0	1	0	0	3	5	0	1	2	0	0	0	3	14	3	9	0	2
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Pseudomonadales prophage|Pseudomonadaceae prophage|Pseudomonas prophage|Pseudomonas aeruginosa	0	0	0	0	0	0	0	1	14	0	0	0	0	0	2	0	0	0	1	0	0	7	0	0	1	0	0	0	13	0	2	6	0	0	0	1
Prophage|Proteobacteria prophage|Gammaproteobacteria prophage|Pasteurellales prophage|Pasteurellaceae prophage|Haemophilus prophage|Haemophilus influenzae	2	1	0	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0
Prophage|Firmicutes prophage|Bacilli prophage|Lactobacillales prophage|Lactobacillaceae prophage|Lactobacillaceae prophage_u|Lactobacillaceae prophage_u_u	0	0	0	4	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	9	0	0
11959	40095	11125	68498	3262	5264	6963	730	55801	5983	28488	2515	6552	21687	108285	8926	5989	3393	8366	21746	4461	8729	17095	19567	7037	7095	5785	3609	11609	1329	28457	15179	5582	38695	1644	0	0
